"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a href=\"/motogp/ducati-big-2024-claim-gp24-gp23-marquez-bagnaia-bastianini/\" style=\"background-position:center right;background-image:url('/content/images/size/w300/2023/12/_1748_A1J0405_UC582634_High.jpg');display:block;background-color:#eeeeee;bac...","#therace_listing_v2 > div:nth-child(1) > div > div:nth-child(1) > div > div:nth-child(2) > a"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a href=\"/motogp/aprilia-raul-fernandez-post-season-test-valencia-2024/\" style=\"background-position:center right;background-image:url('/content/images/size/w300/2023/12/1099091.jpg');display:block;background-color:#eeeeee;background-repeat:no-repeat;...","#therace_listing_v2 > div:nth-child(1) > div > div:nth-child(1) > div > div:nth-child(3) > a"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a href=\"/formula-1/leclerc-mooted-ferrari-f1-new-mega-deal/\" style=\"background-position:center right;background-image:url('/content/images/size/w300/2023/12/fe40dd02-7c5a-4b66-b577-4ff50f168f87.jpg');display:block;background-color:#eeeeee;background...","#therace_listing_v2 > div:nth-child(1) > div > div:nth-child(1) > div > div:nth-child(4) > a"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a href=\"/motogp/motogp-new-team-trackhouse-launch-impression/\" style=\"background-position:center right;background-image:url('/content/images/size/w600/2023/12/d3946640-49f3-3a5f-75b4-1e6abc5f3329.jpg');display:block;background-color:#eeeeee;backgrou...","#therace_listing_v1 > div > div > div:nth-child(1) > div:nth-child(1) > div:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a href=\"/motogp/ducati-big-2024-claim-gp24-gp23-marquez-bagnaia-bastianini/\" style=\"background-position:center right;background-image:url('/content/images/size/w600/2023/12/_1748_A1J0405_UC582634_High.jpg');display:block;background-color:#eeeeee;bac...","#therace_listing_v1 > div > div > div:nth-child(1) > div:nth-child(2) > div:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a href=\"/motogp/aprilia-raul-fernandez-post-season-test-valencia-2024/\" style=\"background-position:center right;background-image:url('/content/images/size/w600/2023/12/1099091.jpg');display:block;background-color:#eeeeee;background-repeat:no-repeat;...","#therace_listing_v1 > div > div > div:nth-child(1) > div:nth-child(3) > div:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a href=\"/formula-1/leclerc-mooted-ferrari-f1-new-mega-deal/\" style=\"background-position:center right;background-image:url('/content/images/size/w600/2023/12/fe40dd02-7c5a-4b66-b577-4ff50f168f87.jpg');display:block;background-color:#eeeeee;background...","#therace_listing_v1 > div > div > div:nth-child(1) > div:nth-child(4) > div:nth-child(1) > a"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 3:1, but text in this element has a contrast ratio of 2.79:1. Recommendation:  change text colour to #e26e18.","<h4>Latest Videos</h4>","#therace-content > div:nth-child(4) > div > div > div:nth-child(1) > div > div:nth-child(1) > h4"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"yt_mask\" href=\"/formula-1/video-lewis-hamilton-self-doubt-mercedes-f1/\"></a>","#yt_player_0 > a"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img class=\"video-base\" loading=\"lazy\" src=\"https://storage.googleapis.com/the-race-com.appspot.com/1/youtube-video-base.png\">","#yt_player_0 > div > div:nth-child(2) > img"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"yt_player_0\" found on the web page.","<div id=\"yt_player_0\" class=\"yt_wrapper\">\n    <a class=\"yt_mask\" href=\"/...</div>","#yt_player_0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"yt_mask\" href=\"/formula-1/loopholes-that-hurt-f1-racing-unlikely-to-be-fixed-before-2026/\"></a>","#yt_player_0 > a"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img class=\"video-base\" loading=\"lazy\" src=\"https://storage.googleapis.com/the-race-com.appspot.com/1/youtube-video-base.png\">","#yt_player_0 > div > div:nth-child(2) > img"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"yt_player_0\" found on the web page.","<div id=\"yt_player_0\" class=\"yt_wrapper\">\n    <a class=\"yt_mask\" href=\"/...</div>","#yt_player_0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"yt_mask\" href=\"/formula-1/ferrari-sainz-las-vegas-grand-prix-damage-f1-payback/\"></a>","#yt_player_0 > a"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img class=\"video-base\" loading=\"lazy\" src=\"https://storage.googleapis.com/the-race-com.appspot.com/1/youtube-video-base.png\">","#yt_player_0 > div > div:nth-child(2) > img"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"yt_player_0\" found on the web page.","<div id=\"yt_player_0\" class=\"yt_wrapper\">\n    <a class=\"yt_mask\" href=\"/...</div>","#yt_player_0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"yt_mask\" href=\"/formula-1/las-vegas-gp-critics-max-verstappen-video/\"></a>","#yt_player_0 > a"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img class=\"video-base\" loading=\"lazy\" src=\"https://storage.googleapis.com/the-race-com.appspot.com/1/youtube-video-base.png\">","#yt_player_0 > div > div:nth-child(2) > img"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"yt_player_0\" found on the web page.","<div id=\"yt_player_0\" class=\"yt_wrapper\">\n    <a class=\"yt_mask\" href=\"/...</div>","#yt_player_0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"yt_mask\" href=\"/formula-1/video-brawn-gp-documentary-disney-keanu-reeves/\"></a>","#yt_player_0 > a"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img class=\"video-base\" loading=\"lazy\" src=\"https://storage.googleapis.com/the-race-com.appspot.com/1/youtube-video-base.png\">","#yt_player_0 > div > div:nth-child(2) > img"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"yt_player_0\" found on the web page.","<div id=\"yt_player_0\" class=\"yt_wrapper\">\n    <a class=\"yt_mask\" href=\"/...</div>","#yt_player_0"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a class=\"yt_mask\" href=\"/formula-1/andrettis-big-move-puts-f1-in-danger-of-looking-silly/\"></a>","#yt_player_0 > a"
